City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Yellowknife,CA,62.46,-114.35,60.8,63,75,11.41,broken clouds,0.0,0
1,The Valley,AI,18.22,-63.06,87.8,58,40,18.34,scattered clouds,0.0,0
2,Hobart,AU,-42.88,147.33,46.4,70,40,12.75,scattered clouds,0.0,0
3,Mantua,IT,45.17,10.78,78.01,63,5,10.0,clear sky,0.0,0
4,Sucua,EC,-2.47,-78.17,66.2,93,90,5.82,light rain,0.0,0
5,Kaifeng,CN,34.79,114.35,82.4,69,20,6.71,few clouds,0.0,0
6,Bethel,US,41.37,-73.41,84.0,34,1,11.41,clear sky,0.0,0
7,Barrow,US,71.29,-156.79,35.6,93,90,16.11,fog,0.0,0
8,Avarua,CK,-21.21,-159.78,68.0,82,30,3.36,scattered clouds,0.0,0
9,Hermanus,ZA,-34.42,19.23,59.0,85,17,3.0,moderate rain,1.03,0
10,Bandundu,CD,-3.32,17.37,86.5,39,78,0.76,broken clouds,0.0,0
11,Alta Floresta,BR,-9.88,-56.09,96.8,34,75,4.7,broken clouds,0.0,0
12,Bredasdorp,ZA,-34.53,20.04,60.8,59,0,5.82,clear sky,0.0,0
13,Kutum,SD,14.2,24.67,78.76,38,93,11.88,overcast clouds,0.0,0
14,Narsaq,GL,60.92,-46.05,44.6,87,75,9.17,light intensity drizzle rain,0.0,0
15,Northam,GB,51.03,-4.22,75.99,74,100,1.01,light rain,0.26,0
16,Cabra,ES,37.47,-4.44,91.0,35,0,4.0,clear sky,0.0,0
17,Mahebourg,MU,-20.41,57.7,73.4,73,75,17.22,shower rain,0.0,0
18,Busselton,AU,-33.65,115.33,53.01,68,12,12.08,few clouds,0.0,0
19,Souillac,MU,-20.52,57.52,73.4,73,75,17.22,shower rain,0.0,0
20,Bayan,CN,46.08,127.4,59.79,92,95,4.38,overcast clouds,0.0,0
21,Benjamin Constant,BR,-4.38,-70.03,84.2,74,78,4.7,moderate rain,1.5,0
22,Puerto Escondido,MX,15.85,-97.07,84.2,70,75,12.75,broken clouds,0.0,0
23,Ostrovnoy,RU,68.05,39.51,52.54,63,36,4.61,scattered clouds,0.0,0
24,Broken Hill,AU,-31.95,141.43,42.8,56,0,3.36,clear sky,0.0,0
25,Atuona,PF,-9.8,-139.03,79.66,74,9,17.83,clear sky,0.0,0
26,Kang,BW,-23.68,22.79,53.8,46,0,2.73,clear sky,0.0,0
27,Chantada,ES,42.61,-7.77,73.99,72,5,5.99,clear sky,0.0,0
28,Ushuaia,AR,-54.8,-68.3,35.6,74,40,24.16,scattered clouds,0.0,0
29,Mataura,NZ,-46.19,168.86,39.0,83,1,3.0,clear sky,0.0,0
30,Banda Aceh,ID,5.56,95.32,81.23,67,100,4.81,overcast clouds,0.0,0
31,Bluff,NZ,-46.6,168.33,39.0,83,2,3.0,clear sky,0.0,0
32,Beringovskiy,RU,63.05,179.32,41.09,82,79,9.4,broken clouds,0.0,0
33,San Cristobal,VE,7.77,-72.22,89.6,43,40,26.4,dust,0.0,0
34,Hovd,MN,48.01,91.64,63.52,42,72,4.68,light rain,0.56,0
35,Pangoa,PE,-12.12,-73.0,84.83,53,78,3.47,broken clouds,0.0,0
36,Da Lat,VN,11.95,108.44,60.06,100,100,1.5,overcast clouds,0.0,0
37,San Ramon,US,37.78,-121.98,79.0,60,1,4.7,clear sky,0.0,0
